           1  0.17598729479541778     
           2  0.22627571707093438     
           3  0.19703337088040068     
           4  0.18290187069841654     
           5  0.10663613605348279     
           6   6.2312521412919972E-002
           7   2.2071431447024538E-002
           8   1.2200742889678172E-002
           9   6.8455615997844122E-003
          10   3.6133917325794343E-003
          11   2.0720722941258147E-003
          12   8.8814835446074771E-004
          13   4.8967291328270643E-004
          14   3.0563477137779659E-004
          15   1.6924936264469382E-004
          16   1.0434305366930153E-004
          17   3.4507151607170584E-005
          18   2.6291163129272829E-005
          19   1.9718372346954620E-005
          20   1.2323982716846638E-005
