           1   7.8872830626984775E-002
           2  0.18677359681151134     
           3  0.33219029146587031     
           4  0.22374725863618466     
           5  0.12017531000148560     
           6   4.0109590814218762E-002
           7   1.2244635801267610E-002
           8   3.8306774851967580E-003
           9   1.2703552238762063E-003
          10   4.6529027690409870E-004
          11   1.7111307338201311E-004
          12   6.8151052149283161E-005
          13   3.1869197048225938E-005
          14   2.2553585603359897E-005
          15   1.0786497462476472E-005
          16   4.9029533920347603E-006
          17   4.4126580528312841E-006
          18   3.9223627136278078E-006
          19   9.8059067840695194E-007
          20   1.4708860176104280E-006
