           1  0.23188494200372003     
           2  0.30092644431425458     
           3  0.21658070485623795     
           4  0.18542031389627445     
           5   4.7438383948617227E-002
           6   1.3693014906809855E-002
           7   2.5608203125562744E-003
           8   8.8039940029788146E-004
           9   3.6624169144473155E-004
          10   1.4375996096372825E-004
          11   6.2096990777306575E-005
          12   2.3537899771303480E-005
          13   8.6649021405390454E-006
          14   5.7342077343580023E-006
          15   1.8673500018251661E-006
          16   2.8090429402640939E-006
          17   0.0000000000000000     
          18   1.3271069009121702E-007
          19   1.3160476767379022E-007
          20   0.0000000000000000     
