           1           0  0.59836716286238756     
           1           1  0.40163283713762671     
           2           0  0.47757661873115476     
           2           1  0.30884623435822545     
           2           2  0.21357714691063528     
           3           0  0.20090439220244238     
           3           1  0.41306138838273354     
           3           2  0.34273443646429369     
           3           3   4.3299782950538920E-002
           4           0  0.11618895366454653     
           4           1  0.35649268852141125     
           4           2  0.43332986145139707     
           4           3   7.7266807136827625E-002
           4           4   1.6721689225817567E-002
           5           0  0.14282046679861937     
           5           1  0.32916688590429521     
           5           2  0.36708488152787366     
           5           3  0.11763396250510889     
           5           4   3.6200143993952522E-002
           5           5   7.0936592701544591E-003
           6           0  0.17506313636607035     
           6           1  0.29876873889525546     
           6           2  0.30378031541005224     
           6           3  0.14547378745426667     
           6           4   5.4732883238287074E-002
           6           5   1.7380036866194139E-002
           6           6   4.8011017698696761E-003
           7           0  0.17885372016126588     
           7           1  0.30085359794416150     
           7           2  0.27373025389415900     
           7           3  0.14807250022294899     
           7           4   7.4889934428148078E-002
           7           5   1.8133045194632890E-002
           7           6   4.9307907856940315E-003
           7           7   5.3615736898963355E-004
           8           0  0.20801442574022369     
           8           1  0.31225371415076658     
           8           2  0.22277556065556495     
           8           3  0.14646384709016841     
           8           4   7.4571932112094702E-002
           8           5   1.7141557914623840E-002
           8           6   1.7235141826732848E-002
           8           7   5.3386795498425405E-004
           8           8   1.0099525548408006E-003
           9           0  0.19552698964863333     
           9           1  0.37083590003744393     
           9           2  0.20578776678624489     
           9           3  0.11176637557222409     
           9           4   5.2741239989853986E-002
           9           5   2.4419924871060872E-002
           9           6   3.5826659902646434E-002
           9           7   5.5410612264618147E-004
           9           8   2.3507989998912933E-003
           9           9   1.9023806935536478E-004
          10           0  0.26891477102260936     
          10           1  0.24413228608134410     
          10           2  0.15357217038102641     
          10           3  0.19156326207198968     
          10           4   5.7715534152364419E-002
          10           5   3.7583371156464686E-002
          10           6   4.6518605134201620E-002
          10           7   0.0000000000000000     
          10           8   0.0000000000000000     
          10           9   0.0000000000000000     
          10          10   0.0000000000000000     
          11           0  0.31108024114195149     
          11           1  0.15847870417367921     
          11           2  0.21696542266627489     
