           1  0.21089296597660204     
           2  0.24340021069601817     
           3  0.15523125050220499     
           4  0.16287855340260904     
           5  0.12135388434111198     
           6   5.6909088586458725E-002
           7   2.5784574109205739E-002
           8   1.2116451253971809E-002
           9   5.6710390981376648E-003
          10   3.1548073384439616E-003
          11   1.3718130788053053E-003
          12   6.3968735057840951E-004
          13   3.4196793466932169E-004
          14   1.1799169013776833E-004
          15   5.6342852294659860E-005
          16   3.6701549997403598E-005
          17   3.5027352420900509E-005
          18   0.0000000000000000     
          19   6.1343645576558408E-006
          20   1.5085217746616353E-006
